id,value
id_0,7.11
id_1,17.81
id_2,20.49
id_3,10.36
id_4,26.09
id_5,19.9
id_6,19.89
id_7,26.69
id_8,15.29
id_9,58.76
id_10,11.65
id_11,20.2
id_12,61.81
id_13,47.84
id_14,21.81
id_15,11.11
id_16,29.51
id_17,66.55
id_18,1.27
id_19,14.62
id_20,38.39
id_21,71.75
id_22,8.5
id_23,15.75
id_24,13.4
id_25,37.78
id_26,10.95
id_27,76.69
id_28,5.39
id_29,40.87
id_30,62.87
id_31,5.08
id_32,2.78
id_33,19.0
id_34,25.54
id_35,35.19
id_36,41.32
id_37,26.34
id_38,37.82
id_39,33.96
id_40,9.84
id_41,39.08
id_42,28.57
id_43,48.48
id_44,15.85
id_45,36.36
id_46,23.58
id_47,8.18
id_48,25.03
id_49,33.11
id_50,14.33
id_51,7.03
id_52,14.75
id_53,45.99
id_54,10.8
id_55,31.42
id_56,34.23
id_57,19.04
id_58,53.56
id_59,21.48
id_60,8.97
id_61,35.55
id_62,12.38
id_63,46.33
id_64,11.5
id_65,15.58
id_66,14.92
id_67,37.37
id_68,43.31
id_69,24.83
id_70,18.87
id_71,37.61
id_72,58.82
id_73,5.29
id_74,16.15
id_75,2.81
id_76,34.86
id_77,14.08
id_78,16.15
id_79,21.02
id_80,19.73
id_81,45.51
id_82,19.83
id_83,96.74
id_84,37.67
id_85,26.49
id_86,21.36
id_87,32.78
id_88,20.28
id_89,17.03
id_90,25.5
id_91,40.87
id_92,-2.36
id_93,38.61
id_94,46.11
id_95,15.17
id_96,29.18
id_97,10.17
id_98,22.48
id_99,3.49
id_100,12.63
id_101,24.11
id_102,31.76
id_103,14.86
id_104,21.23
id_105,35.79
id_106,26.18
id_107,4.43
id_108,1.01
id_109,78.56
id_110,44.03
id_111,14.72
id_112,26.0
id_113,14.87
id_114,12.46
id_115,23.83
id_116,27.31
id_117,8.38
id_118,13.37
id_119,17.69
id_120,103.73
id_121,26.58
id_122,34.32
id_123,22.43
id_124,8.28
id_125,40.08
id_126,9.11
id_127,17.9
id_128,27.13
id_129,53.14
id_130,16.96
id_131,23.9
id_132,56.86
id_133,12.56
id_134,10.66
id_135,0.09
id_136,9.35
id_137,60.41
id_138,7.05
id_139,-3.8
id_140,27.02
id_141,25.06
id_142,42.83
id_143,24.06
id_144,17.08
id_145,22.42
id_146,7.95
id_147,49.66
id_148,16.42
id_149,32.45
id_150,7.5
id_151,5.06
id_152,22.94
id_153,2.7
id_154,15.54
id_155,39.39
id_156,6.31
id_157,34.43
id_158,15.26
id_159,15.4
id_160,36.04
id_161,15.66
id_162,7.77
id_163,6.24
id_164,53.17
id_165,28.71
id_166,17.94
id_167,11.55
id_168,57.62
id_169,10.78
id_170,69.72
id_171,35.01
id_172,23.49
id_173,16.75
id_174,59.25
id_175,18.68
id_176,19.42
id_177,35.68
id_178,11.62
id_179,29.1
id_180,14.33
id_181,9.12
id_182,52.23
id_183,42.6
id_184,15.54
id_185,31.04
id_186,25.18
id_187,65.67
id_188,8.16
id_189,68.81
id_190,34.71
id_191,15.27
id_192,22.93
id_193,-2.22
id_194,13.39
id_195,-1.07
id_196,33.38
id_197,7.56
id_198,20.79
id_199,59.01
id_200,20.12
id_201,19.29
id_202,57.44
id_203,9.22
id_204,6.51
id_205,10.2
id_206,5.88
id_207,1.18
id_208,132.82
id_209,15.41
id_210,14.75
id_211,11.58
id_212,35.34
id_213,32.93
id_214,9.64
id_215,33.73
id_216,89.02
id_217,0.07
id_218,11.53
id_219,28.49
id_220,15.27
id_221,12.6
id_222,159.02
id_223,12.11
id_224,15.4
id_225,56.25
id_226,12.56
id_227,12.07
id_228,9.95
id_229,5.95
id_230,41.03
id_231,10.45
id_232,48.58
id_233,36.98
id_234,22.33
id_235,35.67
id_236,71.48
id_237,37.08
id_238,7.34
id_239,15.23
