id,value
id_0,10.71
id_1,20.15
id_2,22.79
id_3,13.97
id_4,29.77
id_5,22.17
id_6,21.26
id_7,29.11
id_8,17.9
id_9,63.05
id_10,13.11
id_11,22.14
id_12,64.88
id_13,49.55
id_14,22.96
id_15,13.36
id_16,33.57
id_17,70.09
id_18,1.44
id_19,17.13
id_20,41.06
id_21,72.76
id_22,10.77
id_23,18.68
id_24,15.99
id_25,39.54
id_26,14.2
id_27,77.93
id_28,7.1
id_29,45.3
id_30,64.93
id_31,7.69
id_32,4.93
id_33,21.17
id_34,27.37
id_35,37.71
id_36,44.31
id_37,30.22
id_38,41.79
id_39,35.46
id_40,11.33
id_41,40.79
id_42,31.92
id_43,51.03
id_44,17.09
id_45,37.83
id_46,26.48
id_47,10.37
id_48,26.23
id_49,36.7
id_50,18.16
id_51,9.76
id_52,17.57
id_53,49.23
id_54,14.55
id_55,34.05
id_56,37.06
id_57,23.18
id_58,54.83
id_59,23.7
id_60,9.98
id_61,39.04
id_62,14.39
id_63,49.25
id_64,13.16
id_65,16.97
id_66,17.35
id_67,40.65
id_68,47.97
id_69,29.32
id_70,21.42
id_71,39.88
id_72,60.82
id_73,8.54
id_74,18.64
id_75,6.37
id_76,36.53
id_77,15.9
id_78,19.08
id_79,23.92
id_80,22.44
id_81,47.28
id_82,23.14
id_83,100.91
id_84,39.97
id_85,29.62
id_86,24.15
id_87,35.41
id_88,24.53
id_89,19.27
id_90,29.18
id_91,44.51
id_92,0.34
id_93,40.74
id_94,48.99
id_95,17.71
id_96,33.0
id_97,11.83
id_98,24.15
id_99,5.58
id_100,16.04
id_101,26.98
id_102,32.06
id_103,16.81
id_104,23.7
id_105,40.03
id_106,29.96
id_107,7.31
id_108,2.78
id_109,83.63
id_110,46.15
id_111,16.33
id_112,27.56
id_113,16.32
id_114,16.06
id_115,26.5
id_116,29.65
id_117,10.0
id_118,14.55
id_119,20.79
id_120,103.84
id_121,30.15
id_122,38.95
id_123,23.42
id_124,10.52
id_125,41.82
id_126,12.61
id_127,20.24
id_128,28.94
id_129,57.31
id_130,17.81
id_131,26.49
id_132,61.01
id_133,14.98
id_134,14.84
id_135,2.72
id_136,11.94
id_137,64.08
id_138,11.25
id_139,-2.77
id_140,29.09
id_141,27.17
id_142,45.65
id_143,28.19
id_144,19.25
id_145,24.66
id_146,10.28
id_147,53.73
id_148,21.67
id_149,37.4
id_150,10.02
id_151,7.79
id_152,24.58
id_153,5.59
id_154,17.61
id_155,40.98
id_156,9.54
id_157,38.02
id_158,17.25
id_159,16.59
id_160,39.11
id_161,17.78
id_162,10.04
id_163,7.91
id_164,56.23
id_165,33.24
id_166,20.03
id_167,14.01
id_168,60.98
id_169,13.1
id_170,72.29
id_171,38.15
id_172,25.53
id_173,20.45
id_174,62.34
id_175,21.45
id_176,21.82
id_177,38.43
id_178,13.78
id_179,33.41
id_180,17.99
id_181,12.71
id_182,54.33
id_183,47.03
id_184,18.73
id_185,34.91
id_186,28.29
id_187,69.66
id_188,9.44
id_189,73.66
id_190,36.54
id_191,18.05
id_192,24.92
id_193,-1.82
id_194,17.26
id_195,2.33
id_196,35.96
id_197,11.73
id_198,24.73
id_199,62.53
id_200,24.0
id_201,21.34
id_202,60.16
id_203,11.15
id_204,9.62
id_205,12.59
id_206,8.44
id_207,3.73
id_208,136.14
id_209,18.22
id_210,16.63
id_211,15.14
id_212,38.33
id_213,34.05
id_214,12.2
id_215,37.01
id_216,89.25
id_217,2.42
id_218,14.25
id_219,31.72
id_220,17.65
id_221,16.14
id_222,156.14
id_223,14.64
id_224,17.62
id_225,60.8
id_226,15.01
id_227,12.5
id_228,12.8
id_229,9.72
id_230,43.51
id_231,12.45
id_232,50.66
id_233,40.47
id_234,26.42
id_235,39.19
id_236,72.0
id_237,41.99
id_238,11.18
id_239,17.32
